x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+S2+S3+S4
1.22,0.78,0.762649225,0.045845937,-0.00507204,-0.012408513,0.808495162,0.803423122,0.791014609
1.24,0.76,0.753648433,0.038347077,-0.01001919,-0.01449607,0.79199551,0.78197632,0.76748025
1.26,0.74,0.74390388,0.030507846,-0.014719634,-0.015885403,0.774411726,0.759692092,0.74380669
1.28,0.72,0.733425184,0.022397826,-0.019057631,-0.016509592,0.755823009,0.736765378,0.720255786
1.30,0.70,0.722222685,0.014089,-0.022926367,-0.016338572,0.736311685,0.713385319,0.697046747
1.32,0.68,0.71030744,0.00565512,-0.026230579,-0.01538058,0.71596256,0.689731981,0.674351401
1.34,0.66,0.697691208,-0.002828956,-0.028888907,-0.01368176,0.694862252,0.665973345,0.652291584
1.36,0.64,0.684386438,-0.011287921,-0.030835895,-0.011323938,0.673098517,0.642262622,0.630938683
1.38,0.62,0.670406262,-0.019646695,-0.032023601,-0.008420682,0.650759567,0.618735967,0.610315285
1.40,0.60,0.655764476,-0.027831082,-0.032422779,-0.005111831,0.627933393,0.595510615,0.590398783
1.42,0.58,0.640475529,-0.035768439,-0.032023601,-0.001556762,0.604707089,0.572683489,0.571126727
1.44,0.56,0.62455451,-0.043388313,-0.030835895,0.002073292,0.581166197,0.550330302,0.552403594
1.46,0.54,0.608017132,-0.050623069,-0.028888907,0.005603482,0.557394062,0.528505155,0.534108637
1.48,0.52,0.590879713,-0.057408492,-0.026230579,0.008863772,0.533471222,0.507240643,0.516104415
1.50,0.50,0.573159168,-0.063684352,-0.022926367,0.011697126,0.509474816,0.486548449,0.498245575
1.52,0.48,0.554872984,-0.069394946,-0.019057631,0.01396707,0.485478039,0.466420407,0.480387478
1.54,0.46,0.536039208,-0.074489585,-0.014719634,0.01556427,0.461549623,0.446829989,0.462394259
1.56,0.44,0.516676425,-0.078923049,-0.01001919,0.016411794,0.437753376,0.427734186,0.44414598
1.58,0.42,0.496803745,-0.082655987,-0.00507204,0.016468819,0.414147758,0.409075718,0.425544537
1.60,0.40,0.47644078,-0.085655264,-1.58891E-17,0.0157326,0.390785516,0.390785516,0.406518115
1.62,0.38,0.455607625,-0.087894259,0.00507204,0.014238596,0.367713366,0.372785406,0.387024002
1.64,0.36,0.434324841,-0.089353099,0.01001919,0.01205877,0.344971742,0.354990932,0.367049702
1.66,0.34,0.41261343,-0.090018834,0.014719634,0.009298115,0.322594597,0.33731423,0.346612345
1.68,0.32,0.39049482,-0.089885555,0.019057631,0.006089603,0.300609265,0.319666896,0.325756499
1.70,0.30,0.367990838,-0.088954446,0.022926367,0.002587776,0.279036392,0.301962759,0.304550535
1.72,0.28,0.345123694,-0.087233771,0.026230579,-0.001038695,0.257889923,0.284120502,0.283081807
1.74,0.26,0.321915955,-0.084738803,0.028888907,-0.004615136,0.237177152,0.266066059,0.261450923
1.76,0.24,0.298390523,-0.081491687,0.030835895,-0.007969282,0.216898836,0.247734731,0.239765449
1.78,0.22,0.274570616,-0.077521245,0.032023601,-0.010939576,0.197049371,0.229072971,0.218133396
1.80,0.20,0.250479741,-0.07286272,0.032422779,-0.013382948,0.177617022,0.2100398,0.196656852
1.82,0.18,0.226141673,-0.067557459,0.032023601,-0.015181712,0.158584214,0.190607814,0.175426102
1.84,0.16,0.20158043,-0.061652554,0.030835895,-0.016249226,0.139927876,0.170763771,0.154514545
1.86,0.14,0.176820251,-0.055200416,0.028888907,-0.016534071,0.121619835,0.150508743,0.133974671
1.88,0.12,0.151885573,-0.048258316,0.026230579,-0.016022529,0.103627257,0.129857836,0.113835307
1.90,0.10,0.126801001,-0.040887871,0.022926367,-0.014739238,0.08591313,0.108839497,0.094100259
1.92,0.08,0.101591293,-0.033154503,0.019057631,-0.01274601,0.06843679,0.087494421,0.074748411
1.94,0.06,0.076281326,-0.025126853,0.014719634,-0.010138852,0.051154473,0.065874107,0.055735255
1.96,0.04,0.050896078,-0.016876175,0.01001919,-0.007043341,0.034019903,0.044039093,0.036995752
1.98,0.02,0.025460602,-0.008475703,0.00507204,-0.003608577,0.016984899,0.02205694,0.018448363
2.00,0.00,9.93068E-17,-3.31023E-17,1.98614E-17,-1.41867E-17,6.62045E-17,8.60659E-17,7.18792E-17
2.02,-0.02,-0.025460602,0.008475703,-0.00507204,0.003608577,-0.016984899,-0.02205694,-0.018448363
2.04,-0.04,-0.050896078,0.016876175,-0.01001919,0.007043341,-0.034019903,-0.044039093,-0.036995752
2.06,-0.06,-0.076281326,0.025126853,-0.014719634,0.010138852,-0.051154473,-0.065874107,-0.055735255
2.08,-0.08,-0.101591293,0.033154503,-0.019057631,0.01274601,-0.06843679,-0.087494421,-0.074748411
2.10,-0.10,-0.126801001,0.040887871,-0.022926367,0.014739238,-0.08591313,-0.108839497,-0.094100259
2.12,-0.12,-0.151885573,0.048258316,-0.026230579,0.016022529,-0.103627257,-0.129857836,-0.113835307
2.14,-0.14,-0.176820251,0.055200416,-0.028888907,0.016534071,-0.121619835,-0.150508743,-0.133974671
2.16,-0.16,-0.20158043,0.061652554,-0.030835895,0.016249226,-0.139927876,-0.170763771,-0.154514545
2.18,-0.18,-0.226141673,0.067557459,-0.032023601,0.015181712,-0.158584214,-0.190607814,-0.175426102
2.20,-0.20,-0.250479741,0.07286272,-0.032422779,0.013382948,-0.177617022,-0.2100398,-0.196656852
2.22,-0.22,-0.274570616,0.077521245,-0.032023601,0.010939576,-0.197049371,-0.229072971,-0.218133396
2.24,-0.24,-0.298390523,0.081491687,-0.030835895,0.007969282,-0.216898836,-0.247734731,-0.239765449
2.26,-0.26,-0.321915955,0.084738803,-0.028888907,0.004615136,-0.237177152,-0.266066059,-0.261450923
2.28,-0.28,-0.345123694,0.087233771,-0.026230579,0.001038695,-0.257889923,-0.284120502,-0.283081807
2.30,-0.30,-0.367990838,0.088954446,-0.022926367,-0.002587776,-0.279036392,-0.301962759,-0.304550535
2.32,-0.32,-0.39049482,0.089885555,-0.019057631,-0.006089603,-0.300609265,-0.319666896,-0.325756499
2.34,-0.34,-0.41261343,0.090018834,-0.014719634,-0.009298115,-0.322594597,-0.33731423,-0.346612345
2.36,-0.36,-0.434324841,0.089353099,-0.01001919,-0.01205877,-0.344971742,-0.354990932,-0.367049702
2.38,-0.38,-0.455607625,0.087894259,-0.00507204,-0.014238596,-0.367713366,-0.372785406,-0.387024002
2.40,-0.40,-0.47644078,0.085655264,-2.38336E-17,-0.0157326,-0.390785516,-0.390785516,-0.406518115
2.42,-0.42,-0.496803745,0.082655987,0.00507204,-0.016468819,-0.414147758,-0.409075718,-0.425544537
2.44,-0.44,-0.516676425,0.078923049,0.01001919,-0.016411794,-0.437753376,-0.427734186,-0.44414598
2.46,-0.46,-0.536039208,0.074489585,0.014719634,-0.01556427,-0.461549623,-0.446829989,-0.462394259
2.48,-0.48,-0.554872984,0.069394946,0.019057631,-0.01396707,-0.485478039,-0.466420407,-0.480387478
2.50,-0.50,-0.573159168,0.063684352,0.022926367,-0.011697126,-0.509474816,-0.486548449,-0.498245575
2.52,-0.52,-0.590879713,0.057408492,0.026230579,-0.008863772,-0.533471222,-0.507240643,-0.516104415
2.54,-0.54,-0.608017132,0.050623069,0.028888907,-0.005603482,-0.557394062,-0.528505155,-0.534108637
2.56,-0.56,-0.62455451,0.043388313,0.030835895,-0.002073292,-0.581166197,-0.550330302,-0.552403594
2.58,-0.58,-0.640475529,0.035768439,0.032023601,0.001556762,-0.604707089,-0.572683489,-0.571126727
2.60,-0.60,-0.655764476,0.027831082,0.032422779,0.005111831,-0.627933393,-0.595510615,-0.590398783
2.62,-0.62,-0.670406262,0.019646695,0.032023601,0.008420682,-0.650759567,-0.618735967,-0.610315285
2.64,-0.64,-0.684386438,0.011287921,0.030835895,0.011323938,-0.673098517,-0.642262622,-0.630938683
2.66,-0.66,-0.697691208,0.002828956,0.028888907,0.01368176,-0.694862252,-0.665973345,-0.652291584
2.68,-0.68,-0.71030744,-0.00565512,0.026230579,0.01538058,-0.71596256,-0.689731981,-0.674351401
2.70,-0.70,-0.722222685,-0.014089,0.022926367,0.016338572,-0.736311685,-0.713385319,-0.697046747
2.72,-0.72,-0.733425184,-0.022397826,0.019057631,0.016509592,-0.755823009,-0.736765378,-0.720255786
2.74,-0.74,-0.74390388,-0.030507846,0.014719634,0.015885403,-0.774411726,-0.759692092,-0.74380669
2.76,-0.76,-0.753648433,-0.038347077,0.01001919,0.01449607,-0.79199551,-0.78197632,-0.76748025
2.78,-0.78,-0.762649225,-0.045845937,0.00507204,0.012408513,-0.808495162,-0.803423122,-0.791014609
2.80,-0.80,-0.770897376,-0.052937864,2.78059E-17,0.009723281,-0.82383524,-0.82383524,-0.814111959
2.82,-0.82,-0.778384743,-0.059559912,-0.00507204,0.006569713,-0.837944655,-0.843016695,-0.836446982
2.84,-0.84,-0.785103939,-0.065653301,-0.01001919,0.003099706,-0.85075724,-0.86077643,-0.857676724
2.86,-0.86,-0.791048332,-0.071163948,-0.014719634,-0.000519604,-0.862212279,-0.876931913,-0.877451517
2.88,-0.88,-0.796212055,-0.076042938,-0.019057631,-0.004113886,-0.872254993,-0.891312624,-0.89542651
2.90,-0.90,-0.800590014,-0.080246965,-0.022926367,-0.007510017,-0.880836979,-0.903763346,-0.911273363
2.92,-0.92,-0.804177887,-0.083738715,-0.026230579,-0.010544417,-0.887916602,-0.914147181,-0.924691597
2.94,-0.94,-0.806972133,-0.086487194,-0.028888907,-0.013070929,-0.893459327,-0.922348234,-0.935419163
2.96,-0.96,-0.808969995,-0.088468006,-0.030835895,-0.014967861,-0.897438002,-0.928273897,-0.943241758
2.98,-0.98,-0.810169502,-0.08966357,-0.032023601,-0.016143844,-0.899833072,-0.931856673,-0.948000516
3.00,-1.00,-0.810569469,-0.090063274,-0.032422779,-0.016542234,-0.900632743,-0.933055522,-0.949597756
3.02,-0.98,-0.810169502,-0.08966357,-0.032023601,-0.016143844,-0.899833072,-0.931856673,-0.948000516
3.04,-0.96,-0.808969995,-0.088468006,-0.030835895,-0.014967861,-0.897438002,-0.928273897,-0.943241758
3.06,-0.94,-0.806972133,-0.086487194,-0.028888907,-0.013070929,-0.893459327,-0.922348234,-0.935419163
3.08,-0.92,-0.804177887,-0.083738715,-0.026230579,-0.010544417,-0.887916602,-0.914147181,-0.924691597
3.10,-0.90,-0.800590014,-0.080246965,-0.022926367,-0.007510017,-0.880836979,-0.903763346,-0.911273363
3.12,-0.88,-0.796212055,-0.076042938,-0.019057631,-0.004113886,-0.872254993,-0.891312624,-0.89542651
3.14,-0.86,-0.791048332,-0.071163948,-0.014719634,-0.000519604,-0.862212279,-0.876931913,-0.877451517
3.16,-0.84,-0.785103939,-0.065653301,-0.01001919,0.003099706,-0.85075724,-0.86077643,-0.857676724
